schemaname,tablename,rls_enabled
public,clubs,true
public,conversation_members,true
public,conversations,true
public,delete_profiles,true
public,feedback_reports,true
public,followers,true
public,games,true
public,league_teams,true
public,leagues,true
public,messages,true
public,post_comments,true
public,post_likes,true
public,posts,true
public,problem_reports,true
public,profile_blocks,true
public,profile_followers,true
public,profile_media,true
public,profile_stats,true
public,profiles,true
public,regions,true
public,reports,true
public,seasons,true
public,team_invite_codes,true
public,team_managers,true
public,team_memberships,true
public,team_stats,true
public,teams,true
public,ticker_events,true
