table_name,status
clubs,EXISTS
conversation_members,EXISTS
conversations,EXISTS
delete_profiles,EXISTS
feedback_reports,EXISTS
followers,EXISTS
games,EXISTS
league_teams,EXISTS
leagues,EXISTS
messages,EXISTS
post_comments,EXISTS
post_likes,EXISTS
posts,EXISTS
problem_reports,EXISTS
profile_blocks,EXISTS
profile_followers,EXISTS
profile_media,EXISTS
profile_stats,EXISTS
profiles,EXISTS
regions,EXISTS
reports,EXISTS
seasons,EXISTS
team_invite_codes,EXISTS
team_managers,EXISTS
team_memberships,EXISTS
team_stats,EXISTS
teams,EXISTS
ticker_events,EXISTS
