table_schema,table_name,column_name,foreign_table_schema,foreign_table_name,foreign_column_name,constraint_name
public,conversation_members,conversation_id,public,conversations,id,conversation_members_conversation_id_fkey
public,conversations,league_id,public,leagues,id,conversations_league_id_fkey
public,followers,team_id,public,teams,id,followers_team_id_fkey
public,games,created_by,public,profiles,id,games_created_by_fkey
public,games,home_team_id,public,teams,id,games_home_team_id_fkey
public,league_teams,league_id,public,leagues,id,league_teams_league_id_fkey
public,league_teams,season_id,public,seasons,id,league_teams_season_id_fkey
public,league_teams,team_id,public,teams,id,league_teams_team_id_fkey
public,leagues,region_id,public,regions,id,fk_leagues_region
public,leagues,season_id,public,seasons,id,leagues_season_id_fkey
public,messages,conversation_id,public,conversations,id,messages_conversation_id_fkey
public,post_comments,post_id,public,posts,id,post_comments_post_id_fkey
public,post_comments,user_id,public,profiles,id,post_comments_user_id_fkey1
public,post_likes,post_id,public,posts,id,post_likes_post_id_fkey
public,posts,team_id,public,teams,id,posts_team_id_fkey
public,profile_followers,follower_id,public,profiles,id,profile_followers_follower_id_fkey
public,profile_followers,following_id,public,profiles,id,profile_followers_following_id_fkey
public,profile_media,profile_id,public,profiles,id,profile_media_profile_id_fkey
public,profile_stats,profile_id,public,profiles,id,profile_stats_profile_id_fkey
public,profiles,favourite_team_id,public,teams,id,profiles_favourite_team_id_fkey
public,team_invite_codes,team_id,public,teams,id,team_invite_codes_team_id_fkey
public,team_invite_codes,used_by_user_id,public,profiles,id,team_invite_codes_used_by_user_id_fkey
public,team_managers,profile_id,public,profiles,id,team_managers_profile_id_fkey
public,team_managers,team_id,public,teams,id,team_managers_team_id_fkey
public,team_memberships,player_id,public,profiles,id,team_memberships_player_id_fkey
public,team_memberships,team_id,public,teams,id,team_memberships_team_id_fkey
public,team_stats,team_id,public,teams,id,team_stats_team_id_fkey
public,teams,clubs_idclub,public,clubs,id,teams_clubs_idclub_fkey
public,teams,leagues_idleague,public,leagues,id,teams_leagues_idleague_fkey
public,teams,regions_idregion,public,regions,id,teams_regions_idregion_fkey
public,ticker_events,created_by,public,profiles,id,ticker_events_created_by_fkey
public,ticker_events,games_idgame,public,games,id,ticker_events_games_idgame_fkey
public,ticker_events,profile_id,public,profiles,id,ticker_events_profile_id_fkey
