schemaname,tablename,indexname,indexdef
public,clubs,clubs_pkey,CREATE UNIQUE INDEX clubs_pkey ON public.clubs USING btree (id)
public,conversation_members,conversation_members_pkey,"CREATE UNIQUE INDEX conversation_members_pkey ON public.conversation_members USING btree (conversation_id, user_id)"
public,conversation_members,conversation_members_user_idx,CREATE INDEX conversation_members_user_idx ON public.conversation_members USING btree (user_id)
public,conversations,conversations_league_unique,CREATE UNIQUE INDEX conversations_league_unique ON public.conversations USING btree (league_id) WHERE (type = 'league'::text)
public,conversations,conversations_pkey,CREATE UNIQUE INDEX conversations_pkey ON public.conversations USING btree (id)
public,delete_profiles,delete_profiles_pkey,CREATE UNIQUE INDEX delete_profiles_pkey ON public.delete_profiles USING btree (id)
public,feedback_reports,feedback_reports_created_at_idx,CREATE INDEX feedback_reports_created_at_idx ON public.feedback_reports USING btree (created_at DESC)
public,feedback_reports,feedback_reports_pkey,CREATE UNIQUE INDEX feedback_reports_pkey ON public.feedback_reports USING btree (id)
public,feedback_reports,feedback_reports_user_id_idx,CREATE INDEX feedback_reports_user_id_idx ON public.feedback_reports USING btree (user_id)
public,followers,followers_pkey,CREATE UNIQUE INDEX followers_pkey ON public.followers USING btree (id)
public,followers,unique_user_team_follow,"CREATE UNIQUE INDEX unique_user_team_follow ON public.followers USING btree (user_id, team_id)"
public,games,games_game_code_key,CREATE UNIQUE INDEX games_game_code_key ON public.games USING btree (game_code)
public,games,games_pkey,CREATE UNIQUE INDEX games_pkey ON public.games USING btree (id)
public,league_teams,league_teams_league_season_idx,"CREATE INDEX league_teams_league_season_idx ON public.league_teams USING btree (league_id, season_id)"
public,league_teams,league_teams_pkey,CREATE UNIQUE INDEX league_teams_pkey ON public.league_teams USING btree (id)
public,league_teams,league_teams_team_idx,CREATE INDEX league_teams_team_idx ON public.league_teams USING btree (team_id)
public,league_teams,league_teams_team_season_unique,"CREATE UNIQUE INDEX league_teams_team_season_unique ON public.league_teams USING btree (team_id, season_id)"
public,leagues,idx_leagues_region_id,CREATE INDEX idx_leagues_region_id ON public.leagues USING btree (region_id)
public,leagues,leagues_pkey,CREATE UNIQUE INDEX leagues_pkey ON public.leagues USING btree (id)
public,messages,messages_conversation_created_idx,"CREATE INDEX messages_conversation_created_idx ON public.messages USING btree (conversation_id, created_at)"
public,messages,messages_pkey,CREATE UNIQUE INDEX messages_pkey ON public.messages USING btree (id)
public,post_comments,post_comments_pkey,CREATE UNIQUE INDEX post_comments_pkey ON public.post_comments USING btree (id)
public,post_comments,post_comments_post_id_idx,CREATE INDEX post_comments_post_id_idx ON public.post_comments USING btree (post_id)
public,post_likes,post_likes_pkey,CREATE UNIQUE INDEX post_likes_pkey ON public.post_likes USING btree (id)
public,post_likes,post_likes_post_id_idx,CREATE INDEX post_likes_post_id_idx ON public.post_likes USING btree (post_id)
public,post_likes,post_likes_post_id_user_id_key,"CREATE UNIQUE INDEX post_likes_post_id_user_id_key ON public.post_likes USING btree (post_id, user_id)"
