schemaname,table_name,approx_row_count
public,clubs,0
public,conversation_members,12
public,conversations,78
public,delete_profiles,9
public,feedback_reports,3
public,followers,2
public,games,1
public,league_teams,1
public,leagues,137
public,messages,12
public,post_comments,0
public,post_likes,1
public,posts,1
public,problem_reports,4
public,profile_blocks,0
public,profile_followers,1
public,profile_media,6
public,profile_stats,0
public,profiles,5
public,regions,16
public,reports,4
public,seasons,1
public,team_invite_codes,0
public,team_managers,1
public,team_memberships,1
public,team_stats,0
public,teams,1
public,ticker_events,3
