table_schema,table_name,column_name,ordinal_position,data_type,character_maximum_length,is_nullable,column_default,is_primary_key

public,clubs,id,1,uuid,null,NO,gen_random_uuid(),YES
public,clubs,name,2,character varying,255,NO,null,NO
public,clubs,created_at,3,timestamp with time zone,null,NO,"timezone('utc'::text, now())",NO
public,conversation_members,conversation_id,1,uuid,null,NO,null,YES
public,conversation_members,user_id,2,uuid,null,NO,null,YES
public,conversation_members,joined_at,3,timestamp with time zone,null,NO,"timezone('utc'::text, now())",NO
public,conversation_members,last_read_at,4,timestamp with time zone,null,YES,null,NO
public,conversations,id,1,uuid,null,NO,gen_random_uuid(),YES
public,conversations,type,2,text,null,NO,null,NO
public,conversations,league_id,3,uuid,null,YES,null,NO
public,conversations,title,4,text,null,YES,null,NO
public,conversations,created_at,5,timestamp with time zone,null,NO,"timezone('utc'::text, now())",NO
public,delete_profiles,id,1,bigint,null,NO,null,YES
public,delete_profiles,created_at,2,timestamp with time zone,null,NO,"timezone('utc'::text, now())",NO
public,delete_profiles,reason,3,text,null,NO,null,NO
public,delete_profiles,feedback,4,text,null,YES,null,NO
public,feedback_reports,id,1,uuid,null,NO,gen_random_uuid(),YES
public,feedback_reports,user_id,2,uuid,null,NO,null,NO
public,feedback_reports,category,3,text,null,NO,null,NO
public,feedback_reports,message,4,text,null,NO,null,NO
public,feedback_reports,created_at,5,timestamp with time zone,null,NO,now(),NO
public,followers,id,1,bigint,null,NO,null,YES
public,followers,created_at,2,timestamp with time zone,null,NO,"timezone('utc'::text, now())",NO
public,followers,user_id,3,uuid,null,NO,null,NO
public,followers,team_id,4,uuid,null,NO,null,NO
public,games,id,1,integer,null,NO,nextval('games_idgame_seq'::regclass),YES
public,games,status,2,character varying,45,YES,'SCHEDULED'::character varying,NO
public,games,home_score,3,integer,null,YES,0,NO
public,games,away_score,4,integer,null,YES,0,NO
public,games,home_team_id,5,uuid,null,YES,null,NO
public,games,away_team_name,6,text,null,YES,null,NO
public,games,game_date,7,date,null,YES,null,NO
public,games,game_time,8,text,null,YES,null,NO
public,games,location,9,text,null,YES,null,NO
public,games,is_home_game,10,boolean,null,YES,true,NO
public,games,game_code,11,text,null,YES,null,NO
public,games,created_by,12,uuid,null,YES,null,NO
public,league_teams,id,1,bigint,null,NO,null,YES
public,league_teams,team_id,2,uuid,null,NO,null,NO
public,league_teams,league_id,3,uuid,null,NO,null,NO
public,league_teams,season_id,4,bigint,null,NO,null,NO
public,league_teams,created_at,5,timestamp with time zone,null,NO,"timezone('utc'::text, now())",NO
